time/time_elapsed,rollout/ep_rew_mean,train/ent_coef_loss,train/actor_loss,time/episodes,time/fps,rollout/ep_len_mean,train/learning_rate,train/n_updates,train/critic_loss,time/total_timesteps,train/ent_coef
553,-15.5942605,-7.690394878387451,-25.20353889465332,4,9,1333.0,0.0003,3831,0.05082143098115921,5332,0.3170011341571808
1057,-14.387258375000002,-17.30805015563965,-26.19619369506836,8,10,1333.0,0.0003,9163,2.2898061275482178,10664,0.06486660242080688
1398,-9.777742333333332,-15.583398818969727,-20.738489151000977,12,11,1333.0,0.0003,14495,0.034575454890728,15996,0.014756119810044765
1904,-9.566801062500002,-1.7756853103637695,-16.196186065673828,16,11,1333.0,0.0003,19827,0.023119855672121048,21328,0.00629567401483655
2473,-4.870395799999999,0.21582987904548645,-12.30810832977295,20,10,1333.0,0.0003,25159,0.01664206013083458,26660,0.004192383494228125
2953,-1.8194519583333335,-0.6531731486320496,-9.755287170410156,24,10,1333.0,0.0003,30491,0.05551476031541824,31992,0.004545737989246845
3436,19.496337035714284,-1.4983148574829102,-8.090200424194336,28,10,1333.0,0.0003,35823,0.012567661702632904,37324,0.006263774819672108
3876,52.903087468749995,1.0487691164016724,-7.7513251304626465,32,11,1333.0,0.0003,41155,0.04614092409610748,42656,0.0051679713651537895
4292,106.21194011111112,2.762199640274048,-9.693679809570312,36,11,1333.0,0.0003,46487,0.18248802423477173,47988,0.009852242656052113
